strain	previous_names	isotype
AB1	NULL	AB1
AB2	NULL	CB4858
AB3	NULL	CB4858
AB4	NULL	CB4858
BRC20067	NULL	BRC20067
CB3196	GA13	CB4854
CB3197	GA23	CB4854
CB3198	PA2	CB4853
CB3199	PA3	CB4857
CB4852	N3	CB4852
CB4854	GA9	CB4854
CB4856	CB4856_(CGC_#3)|CB4856_CGC_3|CB4856_CGC|CB4856	CB4856
CB4932	NULL	CB4932
CX11254	HEY-046	CX11254
CX11258	HEY-001	CB4858
CX11259	HEY-013	CX11292
CX11262	HEY-028	CX11262
CX11264	HEY-034	CX11264
CX11268	HEY-038	CX11315
CX11271	HEY-050	CX11271
CX11276	HEY-056	CX11276
CX11278	HEY-009	CB4858
CX11285	HEY-061	CX11285
CX11292	HEY-016	CX11292
CX11294	HEY-027	CX11262
CX11305	HEY-004	CB4858
CX11307	HEY-011	CX11307
CX11314	HEY-036	CX11314
CX11315	HEY-039	CX11315
CX11316	HEY-058	CX11276
CX11317	HEY-042	CB4858
CX11319	HEY-055	CX11271
CX11321	HEY-063	CX11285
DL200	NULL	DL200
DL226	NULL	DL226
DL238	NULL	DL238
DR1344	Bergerac_BO	CB4851
DR1345	NULL	CB4857
DR1350	PA2|CB3198	CB4853
ECA243	CB4851_(CGC)|CB4851_CGC|CB4851|N62	CB4851
ECA245	CB4853_(CGC)|CB4853_CGC|GA12	CB4853
ECA246	CB4853_(UK)|CB4853_UK|CB4853|GA12	CB4853
ECA247	CB4855_(CGC)|CB4855_CGC|Cal-5|Sta-5	CB4858
ECA248	CB4855_(UK)|CB4855_UK|CB4855|Cal-5|Sta-5	CB4855
ECA249	CB4857_(CGC)|CB4857_CGC|CB4857|Cl2a	CB4857
ECA250	CB4857_(UK)|CB4857_UK|Cl2a	CB4857
ECA251	CB4858_(CGC)|CB4858_CGC|CB4858|PA1	CB4858
ECA253	N2_(CGC)|N2_CGC|N2	N2
ECA254	N2_Baer|N2_Baer|N2|N2Baer	N2
ECA255	N2_Baer_duplicate_#1|N2	N2
ECA257	Kammenga_N2_isolate|N2	N2
ECA258	PB306_Baer	PB306
ECA259	PB306_CGC|PB306	PB306
ECA260	Kammenga_CB4856	CB4856
ECA36	GD6	ECA36
ECA589	E121|JU1395	JU1395
ECA616	JU1530MAF|O21.1.1	JU1530
ED3005	NULL	ED3005
ED3010	NULL	ED3012
ED3011	NULL	ED3011
ED3012	NULL	ED3012
ED3014	NULL	ED3012
ED3015	NULL	ED3012
ED3017	NULL	ED3017
ED3019	NULL	ED3017
ED3020	NULL	ED3017
ED3021	NULL	ED3005
ED3023	NULL	ED3012
ED3024	NULL	ED3012
ED3028	NULL	ED3012
ED3040	NULL	ED3040
ED3042	NULL	ED3048
ED3043	NULL	ED3052
ED3046	NULL	ED3046
ED3048	NULL	ED3048
ED3049	NULL	ED3049
ED3052	NULL	ED3052
ED3057	NULL	ED3073
ED3072	NULL	ED3073
ED3073	NULL	ED3073
ED3075	NULL	ED3073
ED3077	NULL	ED3077
EG4346	NULL	EG4347
EG4347	NULL	EG4347
EG4348	NULL	EG4349
EG4349	NULL	EG4349
EG4680	NULL	EG4946
EG4689	NULL	EG4946
EG4724	NULL	EG4724
EG4725	NULL	EG4725
EG4945	NULL	EG4946
EG4946	NULL	EG4946
EG4948	NULL	EG4946
EG4951	NULL	EG4946
EG4957	NULL	EG4946
GXW1	NULL	GXW1
JT11362	NULL	JT11398
JT11398	NULL	JT11398
JT11399	NULL	JT11398
JU1026	PIB1	JU310
JU1037	PIF2	JU310
JU1039	PrA4	JU310
JU1040	PrB1	JU310
JU1088	J14B1	JU1088
JU1171	C1.2.1	MY23
JU1172	C6.2.1	JU1172
JU1200	TP	JU1200
JU1204	L1A1A	JU310
JU1206	L1A3G	JU310
JU1207	1.1.1	JU1212
JU1212	1.4.1	JU1212
JU1213	6.2.1	JU1213
JU1214	H.2.1	JU1212
JU1218	6.1.1	JU1242
JU1230	7.1.1	JU1242
JU1242	F2	JU1242
JU1243	D2	JU1242
JU1246	14.1.1	JU1246
JU1395	E121	JU1395
JU1400	E2.9.1	JU1400
JU1401	E6.4.1	JU1409
JU1409	E7.6.1	JU1409
JU1410	E7.51.1	JU1409
JU1411	E7.55.1	JU1409
JU1440	B7.2.1	JU1440
JU1482	P6.1.3	JU1213
JU1484	B10S1	JU1491
JU1491	B10S8	JU1491
JU1516	O13.1.1	JU1581
JU1522	O14.2.1	JU1581
JU1530	O21.1.1	JU1530
JU1563	O40.3.2	CB4852
JU1566	I4.1.1	JU1568
JU1568	I5.1.1	JU1568
JU1581	O134.10	JU1581
JU1582	O143.9	JU1581
JU1586	B41.1	JU1586
JU1652	UY1.1	JU1652
JU1896	"NA"	JU1896
JU2001	NULL	JU2001
JU2007	NULL	JU2007
JU2316	L13-1.3	JU2316
JU2464	Ag.Cal 2	JU2464
JU2466	ollanta 3A1	JU2466
JU2467	Ag.cal 5	JU2464
JU2468	Ag.cal 1	JU2464
JU2513	G6.1	JU2513
JU2519	L13-5.3	JU2519
JU2522	NULL	JU2522
JU2526	L13-7.9	JU2526
JU258	M1.1	JU258
JU262	B2.2	JU310
JU263	B2.1	JU310
JU299	LB14.4	JU310
JU300	LB14.11	JU310
JU301	LB14.2	JU310
JU302	LB14.3	JU310
JU303	LB14.1	JU310
JU305	LB14.7	JU310
JU306	LB14.6	JU310
JU307	LB14.13	JU310
JU309	LB14.8	JU310
JU310	LB14.10	JU310
JU311	F5.1	JU311
JU312	F5.2	JU311
JU313	F5.3	JU311
JU314	F2.1	JU311
JU315	F3.1	JU311
JU316	F3.2	JU311
JU317	F4.1	JU311
JU318	F6.1	JU311
JU319	F6.2	JU311
JU321	F9.1	JU311
JU322	D1.1	JU323
JU323	D3.1	JU323
JU342	D4.1	JU323
JU346	G1.5	JU346
JU347	C1.1	JU323
JU360	PB1.2	JU360
JU361	PB2.X	JU367
JU362	PB2.1	JU360
JU363	PB1.1	JU360
JU364	PB2.3	JU360
JU366	PB4.1	JU360
JU367	PB3.1	JU367
JU368	PB2.5	JU360
JU369	PB2.4	JU360
JU370	PB4.2	JU360
JU371	PA3.1	JU367
JU393	HC1.2	JU393
JU394	HC2.1	JU394
JU395	HC2.3	JU792
JU396	HC2.4	JU792
JU397	HC6.1	JU397
JU398	HC4.3	JU397
JU399	HC3.1	JU394
JU400	HC3.2	JU394
JU401	HC4.4	JU397
JU402	HC5.1	JU397
JU406	compost4	JU406
JU407	compost5	JU406
JU438	NULL	JU310
JU440	NULL	JU440
JU531	P4D6	JU1213
JU533	P4D8	JU1213
JU561	P9cl1	JU561
JU563	P9A7	JU561
JU622	Pyr2.1	JU792
JU642	NULL	JU642
JU692	CP4.2	JU367
JU693	CP8.1	JU367
JU694	CP10.1	JU367
JU751	JA VI 2.1	JU751
JU774	P6P2	JU774
JU775	P8D1	JU775
JU778	P12B4	JU778
JU782	P14D1	JU782
JU792	F2A1	JU792
JU799	P8L3	JU775
JU801	E1.2	JU360
JU829	T2A1	JU830
JU830	T2A2	JU830
JU847	O6A1	JU847
JU848	O6A5	JU847
KR314	NULL	KR314
LKC34	NULL	LKC34
